dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,000000000000000005ad,bad,100,0.35258888914929604,1.9360132438026536,2.038969244431312
candidate,000000000000000005ad,good,100,0.1632960391228404,0.8238270270150433,2.6664724458915594
candidate,000000000000000005bd,bad,100,-0.7360592260440731,1.4278262567251006,1.3525955117305126
candidate,000000000000000005bd,good,100,0.04890346578901811,1.5790702076185072,1.9807986727205464
candidate,000000000000000005bf,bad,100,0.13981187060692538,1.7240545661667295,2.234051315349668
candidate,000000000000000005bf,good,100,-0.017304314930682328,2.1362875915108472,2.4699193592108917
candidate,000000000000000005cc,bad,100,0.3762041907764712,1.6310160705313828,3.355387637370987
candidate,000000000000000005cc,good,100,0.01670519885524113,2.0755035330526055,2.0217320119081483
candidate,000000000000000005d1,bad,100,-0.11087191890298094,1.0051610891258842,1.1127606409345698
candidate,000000000000000005d1,good,100,0.22415432296394472,1.0884016013559163,2.6536027426603295
candidate,000000000000000005de,bad,100,0.2508924624465815,1.4174079270149273,2.923006660466625
candidate,000000000000000005de,good,100,0.2705087147461207,0.8780700336571085,3.085843214346181
candidate,000000000000000005e7,bad,100,0.14297998529920017,2.6087798694794384,2.3185164327391328
candidate,000000000000000005e7,good,100,0.07417072684497725,2.2945128807295685,1.7821189309680905
candidate,000000000000000005f9,bad,100,-0.10072433132346838,0.891074929295173,1.0044309501324478
candidate,000000000000000005f9,good,100,0.24616359253117573,2.8139458529383137,2.4349247778910863
candidate,00000000000000000611,bad,100,0.23736582072182477,2.0338146006150004,2.425038725223666
candidate,00000000000000000611,good,100,0.04761147494087046,1.679033417997297,2.4533297499895634
candidate,0000000000000000061c,bad,100,0.4259689017739967,0.29385020374954673,1.7102040428585126
candidate,0000000000000000061c,good,100,0.35349252886518395,1.6796741163950013,2.182888080005952
candidate,00000000000000000624,bad,100,0.4201743150481212,0.6144356897100203,0.7472724688615837
candidate,00000000000000000624,good,100,0.24608428165563756,0.3833400838417544,2.260159933824626
candidate,00000000000000000626,bad,100,0.560211019743742,0.8820208699483606,2.1233185434782103
